director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Simon Kinberg,Jessica Chastain,Lupita Nyong'o,Penélope Cruz,Action Thriller,the 355,Jessica Chastain Lupita Nyong'o Penélope Cruz Simon Kinberg Action Thriller
Patricia Harris Seeley,Autumn Reeser,Antonio Cupo,Danny Trejo,Family Animation Fantasy Horror,the legend of la llorona,Autumn Reeser Antonio Cupo Danny Trejo Patricia Harris Seeley Family Animation Fantasy Horror
Asif Akbar,Mickey Rourke,Michael Jai White,unknown,Action Crime Thriller,the commando,Mickey Rourke Michael Jai White unknown Asif Akbar Action Crime Thriller
Edward Drake,Timothy V. Murphy,Bruce Willis,unknown,Action Adventure Thriller,american siege,Timothy V. Murphy Bruce Willis unknown Edward Drake Action Adventure Thriller
"Matt Bettinelli-Olpin, Tyler Gillett",Melissa Barrera,Mason Gooding,Jenna Ortega,Horror Mystery Thriller,scream,"Melissa Barrera Mason Gooding Jenna Ortega Matt Bettinelli-Olpin, Tyler Gillett Horror Mystery Thriller"
"Jennifer Kluska, Derek Drymon",Andy Samberg,Selena Gomez,Kathryn Hahn,Animation Comedy Family Fantasy Adventure,hotel transylvania: transformania,"Andy Samberg Selena Gomez Kathryn Hahn Jennifer Kluska, Derek Drymon Animation Comedy Family Fantasy Adventure"
Luis Prieto,Cameron Monaghan,Frank Grillo,Lilly Krug,Thriller,shattered,Cameron Monaghan Frank Grillo Lilly Krug Luis Prieto Thriller
Rick Jacobson,Laura Marano,Mena Massoud,unknown,Romance Comedy,the royal treatment,Laura Marano Mena Massoud unknown Rick Jacobson Romance Comedy
D.J. Caruso,Abigail Cowen,Tom Lewis,Logan Marshall-Green,Romance Drama History,redeeming love,Abigail Cowen Tom Lewis Logan Marshall-Green D.J. Caruso Romance Drama History
Sean McNamara,Pierce Brosnan,Kaya Scodelario,Benjamin Walker,Fantasy Adventure Family,the king's daughter,Pierce Brosnan Kaya Scodelario Benjamin Walker Sean McNamara Fantasy Adventure Family
Ray Giarratana,Christian Convery,Dennis Quaid,Queen Latifah,Adventure Family,the tiger rising,Christian Convery Dennis Quaid Queen Latifah Ray Giarratana Adventure Family
Justin Lee,Bruce Dern,Billy Zane,Tony Todd,Horror Action,hellblazers,Bruce Dern Billy Zane Tony Todd Justin Lee Horror Action
Megan Park,Jenna Ortega,Maddie Ziegler,Niles Fitch,Drama,the fallout,Jenna Ortega Maddie Ziegler Niles Fitch Megan Park Drama
"Charles Kinnane, Daniel Kinnane",Kevin James,Taylor Lautner,Rob Schneider,Family Comedy,home team,"Kevin James Taylor Lautner Rob Schneider Charles Kinnane, Daniel Kinnane Family Comedy"
John C. Donkin,Simon Pegg,Utkarsh Ambudkar,Justina Machado,Animation Comedy Adventure Family,the ice age adventures of buck wild,Simon Pegg Utkarsh Ambudkar Justina Machado John C. Donkin Animation Comedy Adventure Family
Paul Solet,Adrien Brody,Glenn Fleshler,Mykelti Williamson,Crime,clean,Adrien Brody Glenn Fleshler Mykelti Williamson Paul Solet Crime
Michel Franco,Tim Roth,Charlotte Gainsbourg,unknown,Romance Comedy,sundown,Tim Roth Charlotte Gainsbourg unknown Michel Franco Romance Comedy
Jeff Tremaine,Johnny Knoxville,Steve-O,Chris Pontius,Comedy Documentary,jackass forever,Johnny Knoxville Steve-O Chris Pontius Jeff Tremaine Comedy Documentary
Roland Emmerich,Halle Berry,Patrick Wilson,John Bradley,Science Fiction Adventure Action,moonfall,Halle Berry Patrick Wilson John Bradley Roland Emmerich Science Fiction Adventure Action
Tim Kirkby,Charlie Hunnam,Mel Gibson,Morena Baccarin,Action Crime Thriller,last looks,Charlie Hunnam Mel Gibson Morena Baccarin Tim Kirkby Action Crime Thriller
Rich Ragsdale,Scout Taylor-Compton,Nolan Gerard Funk,Jeff Fahey,Horror,the long night,Scout Taylor-Compton Nolan Gerard Funk Jeff Fahey Rich Ragsdale Horror
Steven Soderbergh,Zoë Kravitz,Rita Wilson,Byron Bowers,Thriller,kimi,Zoë Kravitz Rita Wilson Byron Bowers Steven Soderbergh Thriller
D.J. Caruso,Rainey Qualley,Jake Horowitz,Luciana VanDette,Thriller Horror Drama,shut in,Rainey Qualley Jake Horowitz Luciana VanDette D.J. Caruso Thriller Horror Drama
Kenneth Branagh,Tom Bateman,Annette Bening,Kenneth Branagh,Mystery Drama Crime Thriller Action Adventure,death on the nile,Tom Bateman Annette Bening Kenneth Branagh Kenneth Branagh Mystery Drama Crime Thriller Action Adventure
Kat Coiro,Jennifer Lopez,Owen Wilson,Maluma,Romance Comedy Music,marry me,Jennifer Lopez Owen Wilson Maluma Kat Coiro Romance Comedy Music
Mark Williams,Liam Neeson,Emmy Raver-Lampman,Taylor John Smith,Action Thriller,blacklight,Liam Neeson Emmy Raver-Lampman Taylor John Smith Mark Williams Action Thriller
Jason Orley,Charlie Day,Jenny Slate,Scott Eastwood,Comedy Romance,i want you back,Charlie Day Jenny Slate Scott Eastwood Jason Orley Comedy Romance
Emily Ting,Ava Michelle,Griffin Gluck,Sabrina Carpenter,Comedy Romance,tall girl 2,Ava Michelle Griffin Gluck Sabrina Carpenter Emily Ting Comedy Romance
Josephine Decker,Grace Kaufman,Pico Alexander,Jacques Colimon,Drama Romance Music,the sky is everywhere,Grace Kaufman Pico Alexander Jacques Colimon Josephine Decker Drama Romance Music
Arie Posin,Joey King,Kyle Allen,Kim Dickens,Romance Science Fiction Drama,the in between,Joey King Kyle Allen Kim Dickens Arie Posin Romance Science Fiction Drama
Roel Reiné,Iko Uwais,Lewis Tan,Lawrence Kao,Action Fantasy,fistful of vengeance,Iko Uwais Lewis Tan Lawrence Kao Roel Reiné Action Fantasy
Ruben Fleischer,Tom Holland,Mark Wahlberg,Sophia Ali,Action Adventure,uncharted,Tom Holland Mark Wahlberg Sophia Ali Ruben Fleischer Action Adventure
"Reid Carolin, Channing Tatum",Channing Tatum,Jane Adams,Kevin Nash,Drama Comedy,dog,"Channing Tatum Jane Adams Kevin Nash Reid Carolin, Channing Tatum Drama Comedy"
David Blue Garcia,Sarah Yarkin,Elsie Fisher,Mark Burham,Horror Thriller,texas chainsaw massacre,Sarah Yarkin Elsie Fisher Mark Burham David Blue Garcia Horror Thriller
Sean Ellis,Boyd Holbrook,Kelly Reilly,Alistair Petrie,Horror Fantasy Mystery,the cursed,Boyd Holbrook Kelly Reilly Alistair Petrie Sean Ellis Horror Fantasy Mystery
Erik Peter Carlson,Emily Shenaut,Brian Hull,Gabriel Burrafato,Adventure Family Fantasy,a fairy tale after all,Emily Shenaut Brian Hull Gabriel Burrafato Erik Peter Carlson Adventure Family Fantasy
Joe Wright,Peter Dinklage,Haley Bennett,Kelvin Harrison Jr.,Drama Romance,cyrano,Peter Dinklage Haley Bennett Kelvin Harrison Jr. Joe Wright Drama Romance
BJ McDonell,Dave Grohl,Taylor Hawkins,Nate Mendel,Horror Comedy Music,studio 666,Dave Grohl Taylor Hawkins Nate Mendel BJ McDonell Horror Comedy Music
Tyler Perry,Tyler Perry,Cassi Davis,David Mann,Comedy,a madea homecoming,Tyler Perry Cassi Davis David Mann Tyler Perry Comedy
Damien Power,Havana Rose Liu,Danny Ramirez,Dennis Haysbert,Thriller Mystery,no exit,Havana Rose Liu Danny Ramirez Dennis Haysbert Damien Power Thriller Mystery
Edward John Drake,Bruce Willis,Luke Wilson,Devon Sawa,Action Thriller Crime Mystery,gasoline alley,Bruce Willis Luke Wilson Devon Sawa Edward John Drake Action Thriller Crime Mystery
Matt Reeves,Robert Pattinson,Zoë Kravitz,Paul Dano,Crime Mystery Thriller,the batman,Robert Pattinson Zoë Kravitz Paul Dano Matt Reeves Crime Mystery Thriller
Mimi Cave,Daisy Edgar-Jones,Sebastian Stan,Jonica T. Gibbs,Horror Thriller Comedy,fresh,Daisy Edgar-Jones Sebastian Stan Jonica T. Gibbs Mimi Cave Horror Thriller Comedy
Wes Miller,Kevin Dillon,Bruce Willis,Frank Grillo,Action Thriller Crime,a day to die,Kevin Dillon Bruce Willis Frank Grillo Wes Miller Action Thriller Crime
Shawn Levy,Ryan Reynolds,Mark Ruffalo,Jennifer Garner,Adventure Science Fiction,the adam project,Ryan Reynolds Mark Ruffalo Jennifer Garner Shawn Levy Adventure Science Fiction
Domee Shi,Rosalie Chiang,Sandra Oh,Ava Morse,Animation Family Comedy Fantasy,turning red,Rosalie Chiang Sandra Oh Ava Morse Domee Shi Animation Family Comedy Fantasy
Kim Bass,Rory Cochrane,Amy Smart,Major Dodson,Drama,tyson's run,Rory Cochrane Amy Smart Major Dodson Kim Bass Drama
Katt Shea,Grant Gustin,Scott Wolf,Kaylah Zander,Family Drama,rescued by ruby,Grant Gustin Scott Wolf Kaylah Zander Katt Shea Family Drama
Graham Moore,Mark Rylance,Zoey Deutch,Johnny Flynn,Crime,the outfit,Mark Rylance Zoey Deutch Johnny Flynn Graham Moore Crime
Adrian Lyne,Ben Affleck,Ana de Armas,Tracy Letts,Drama Thriller,deep water,Ben Affleck Ana de Armas Tracy Letts Adrian Lyne Drama Thriller
Gail Lerner,Gabrielle Union,Zach Braff,Erika Christensen,Family Comedy,cheaper by the dozen,Gabrielle Union Zach Braff Erika Christensen Gail Lerner Family Comedy
Charlie McDowell,Lily Collins,Jesse Plemons,Jason Segel,Thriller Crime Drama,windfall,Lily Collins Jesse Plemons Jason Segel Charlie McDowell Thriller Crime Drama
Ti West,Mia Goth,Jenna Ortega,Martin Henderson,Horror Mystery Thriller,x,Mia Goth Jenna Ortega Martin Henderson Ti West Horror Mystery Thriller
Iris K. Shim,Sandra Oh,Fivel Stewart,MeeWha Alana Lee,Horror Mystery,umma,Sandra Oh Fivel Stewart MeeWha Alana Lee Iris K. Shim Horror Mystery
Krystin Ver Linden,Keke Palmer,Common,Gaius Charles,Thriller Drama,alice,Keke Palmer Common Gaius Charles Krystin Ver Linden Thriller Drama
Mariama Diallo,Regina Hall,Zoe Renee,Amber Gray,Horror Thriller Drama Mystery,master,Regina Hall Zoe Renee Amber Gray Mariama Diallo Horror Thriller Drama Mystery
Peyfa,Bella Thorne,Melissa Leo,Roma Maffia,Thriller,measure of revenge,Bella Thorne Melissa Leo Roma Maffia Peyfa Thriller
"Małgorzata Szumowska, Michał Englert",Naomi Watts,Billy Howle,Sophie Okonedo,Thriller Adventure Drama,infinite storm,"Naomi Watts Billy Howle Sophie Okonedo Małgorzata Szumowska, Michał Englert Thriller Adventure Drama"
Roshan Sethi,Karan Soni,Geraldine Viswanathan,Mark Duplass,Romance Comedy,7 days,Karan Soni Geraldine Viswanathan Mark Duplass Roshan Sethi Romance Comedy
Chris Winterbauer,Cole Sprouse,Lana Condor,Mason Gooding,Comedy Romance Science Fiction,moonshot,Cole Sprouse Lana Condor Mason Gooding Chris Winterbauer Comedy Romance Science Fiction
Daniel Espinosa,Jared Leto,Matt Smith,Adria Arjona,Action Science Fiction Fantasy,morbius,Jared Leto Matt Smith Adria Arjona Daniel Espinosa Action Science Fiction Fantasy
Judd Apatow,Karen Gillan,Iris Apatow,Fred Armisen,Comedy,the bubble,Karen Gillan Iris Apatow Fred Armisen Judd Apatow Comedy
Tarik Saleh,Chris Pine,Ben Foster,Gillian Jacobs,Action Adventure Thriller,the contractor,Chris Pine Ben Foster Gillian Jacobs Tarik Saleh Action Adventure Thriller
Tim Federle,Rueby Wood,Joshua Bassett,Aria Brooks,Music Family Comedy,better nate than ever,Rueby Wood Joshua Bassett Aria Brooks Tim Federle Music Family Comedy
Jeff Fowler,James Marsden,Ben Schwartz,Tika Sumpter,Action Adventure Family Comedy,sonic the hedgehog 2,James Marsden Ben Schwartz Tika Sumpter Jeff Fowler Action Adventure Family Comedy
Michael Bay,Jake Gyllenhaal,Yahya Abdul-Mateen II,Eiza González,Thriller Action,ambulance,Jake Gyllenhaal Yahya Abdul-Mateen II Eiza González Michael Bay Thriller Action
Janus Metz Pedersen,Chris Pine,Thandiwe Newton,Laurence Fishburne,Thriller Action,all the old knives,Chris Pine Thandiwe Newton Laurence Fishburne Janus Metz Pedersen Thriller Action
Peter Sollett,Jaeden Martell,Isis Hainsworth,Adrian Greensmith,Comedy Drama Music,metal lords,Jaeden Martell Isis Hainsworth Adrian Greensmith Peter Sollett Comedy Drama Music
Rosalind Ross,Mark Wahlberg,Mel Gibson,Jacki Weaver,Drama,father stu,Mark Wahlberg Mel Gibson Jacki Weaver Rosalind Ross Drama
David Yates,Eddie Redmayne,Jude Law,Ezra Miller,Fantasy Adventure Family,fantastic beasts: the secrets of dumbledore,Eddie Redmayne Jude Law Ezra Miller David Yates Fantasy Adventure Family
Riley Stearns,Karen Gillan,Beulah Koale,Theo James,Science Fiction Comedy,dual,Karen Gillan Beulah Koale Theo James Riley Stearns Science Fiction Comedy
Toby Meakins,Asa Butterfield,Iola Evans,Eddie Marsan,Horror Thriller Science Fiction,choose or die,Asa Butterfield Iola Evans Eddie Marsan Toby Meakins Horror Thriller Science Fiction
Nick Lyon,Keesha Sharp,Jamie Bamber,Lydia Hearst,Thriller Horror Mystery,titanic 666,Keesha Sharp Jamie Bamber Lydia Hearst Nick Lyon Thriller Horror Mystery
Pierre Perifel,Sam Rockwell,Marc Maron,Craig Robinson,Animation Action Adventure Crime Comedy Family,the bad guys,Sam Rockwell Marc Maron Craig Robinson Pierre Perifel Animation Action Adventure Crime Comedy Family
Robert Eggers,Alexander Skarsgård,Nicole Kidman,Claes Bang,Action Adventure Fantasy,the northman,Alexander Skarsgård Nicole Kidman Claes Bang Robert Eggers Action Adventure Fantasy
Tom Gormican,Nicolas Cage,Pedro Pascal,Sharon Horgan,Action Comedy Crime,the unbearable weight of massive talent,Nicolas Cage Pedro Pascal Sharon Horgan Tom Gormican Action Comedy Crime
Barry Levinson,Ben Foster,Vicky Krieps,Billy Magnussen,History Action Drama,the survivor,Ben Foster Vicky Krieps Billy Magnussen Barry Levinson History Action Drama
Martin Campbell,Liam Neeson,Guy Pearce,Monica Bellucci,Action Thriller Crime,memory,Liam Neeson Guy Pearce Monica Bellucci Martin Campbell Action Thriller Crime
Sammi Cohen,Rowan Blanchard,Auliʻi Cravalho,Isabella Ferreira,Comedy Romance,crush,Rowan Blanchard Auliʻi Cravalho Isabella Ferreira Sammi Cohen Comedy Romance
Josh Sternfeld,Jesse Metcalfe,Bruce Willis,Chad Michael Murray,Action Thriller Crime,fortress: sniper's eye,Jesse Metcalfe Bruce Willis Chad Michael Murray Josh Sternfeld Action Thriller Crime
Michael D. Olmos,Charlie Clark,Kuno Becker,Marko Zaror,Action Fantasy Comedy,green ghost and the masters of the stone,Charlie Clark Kuno Becker Marko Zaror Michael D. Olmos Action Fantasy Comedy
Sean O'Reilly,Bruce Willis,Michael Rooker,unknown,Science Fiction Action Thriller Adventure,corrective measures,Bruce Willis Michael Rooker unknown Sean O'Reilly Science Fiction Action Thriller Adventure
Sam Raimi,Benedict Cumberbatch,Elizabeth Olsen,Chiwetel Ejiofor,Fantasy Action Adventure,doctor strange in the multiverse of madness,Benedict Cumberbatch Elizabeth Olsen Chiwetel Ejiofor Sam Raimi Fantasy Action Adventure
Sofia Alvarez,Emma Pasarow,Belmont Cameli,Kate Bosworth,Romance Drama,along for the ride,Emma Pasarow Belmont Cameli Kate Bosworth Sofia Alvarez Romance Drama
Mark A.Z. Dippé,Pete Davidson,J. K. Simmons,David Koechner,Animation Family Comedy Adventure,marmaduke,Pete Davidson J. K. Simmons David Koechner Mark A.Z. Dippé Animation Family Comedy Adventure
Emerson Moore,Jordan Claire Robbins,Theo Rossi,Tahirah Sharif,Thriller Horror,escape the field,Jordan Claire Robbins Theo Rossi Tahirah Sharif Emerson Moore Thriller Horror
John Madden,Colin Firth,Matthew Macfadyen,Kelly Macdonald,War History Drama,operation mincemeat,Colin Firth Matthew Macfadyen Kelly Macdonald John Madden War History Drama
Alex Hardcastle,Rebel Wilson,Sam Richardson,Zoë Chao,Comedy,senior year,Rebel Wilson Sam Richardson Zoë Chao Alex Hardcastle Comedy
Keith Thomas,Zac Efron,Ryan Kiera Armstrong,Sydney Lemmon,Horror Thriller Science Fiction,firestarter,Zac Efron Ryan Kiera Armstrong Sydney Lemmon Keith Thomas Horror Thriller Science Fiction
Elizabeth Allen Rosenbaum,Chosen Jacobs,Lexi Underwood,John Salley,Music Comedy Family,sneakerella,Chosen Jacobs Lexi Underwood John Salley Elizabeth Allen Rosenbaum Music Comedy Family
Jerrod Carmichael,Jerrod Carmichael,Christopher Abbott,Tiffany Haddish,Comedy Drama,on the count of three,Jerrod Carmichael Christopher Abbott Tiffany Haddish Jerrod Carmichael Comedy Drama
Chadd Harbold,Ashley Benson,Shiloh Fernandez,Logan Miller,Thriller Drama,private property,Ashley Benson Shiloh Fernandez Logan Miller Chadd Harbold Thriller Drama
Brian Cates,Tommy Woodward,Eddie James,Leigh-Allyn Baker,Comedy Family,family camp,Tommy Woodward Eddie James Leigh-Allyn Baker Brian Cates Comedy Family
Jared Cohn,Clive Standen,Theo Rossi,Mike Tyson,Action,vendetta,Clive Standen Theo Rossi Mike Tyson Jared Cohn Action
Simon Curtis,Hugh Bonneville,Elizabeth McGovern,Maggie Smith,Drama Romance,downton abbey: a new era,Hugh Bonneville Elizabeth McGovern Maggie Smith Simon Curtis Drama Romance
Akiva Schaffer,John Mulaney,Andy Samberg,Will Arnett,Animation Family Comedy Adventure Mystery,chip 'n dale: rescue rangers,John Mulaney Andy Samberg Will Arnett Akiva Schaffer Animation Family Comedy Adventure Mystery
Richard Wong,Eugenio Derbez,Samara Weaving,unknown,Comedy Romance,the valet,Eugenio Derbez Samara Weaving unknown Richard Wong Comedy Romance
Carey Williams,RJ Cyler,Sabrina Carpenter,unknown,Comedy Drama Thriller,emergency,RJ Cyler Sabrina Carpenter unknown Carey Williams Comedy Drama Thriller
Joseph Kosinski,Tom Cruise,Miles Teller,Jennifer Connelly,Action Drama,top gun: maverick,Tom Cruise Miles Teller Jennifer Connelly Joseph Kosinski Action Drama
"Loren Bouchard, Bernard Derriman",H. Jon Benjamin,Dan Mintz,Eugene Mirman,Animation Adventure Comedy,the bob's burgers movie,"H. Jon Benjamin Dan Mintz Eugene Mirman Loren Bouchard, Bernard Derriman Animation Adventure Comedy"
Rick Dugdale,Anthony Hopkins,Chris Brochu,Aleks Paunovic,Science Fiction Thriller,zero contact,Anthony Hopkins Chris Brochu Aleks Paunovic Rick Dugdale Science Fiction Thriller
Jonas Carpignano,Swamy Rotolo,Claudio Rotolo,Carmela Fumo,Drama,a chiara,Swamy Rotolo Claudio Rotolo Carmela Fumo Jonas Carpignano Drama
