director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Lena Dunham,Bella Ramsey,Billie Piper,Andrew Scott,Adventure Comedy,catherine called birdy,Bella Ramsey Billie Piper Andrew Scott Lena Dunham Adventure Comedy
Anna Foerster,Allison Janney,Jurnee Smollett,Logan Marshall-Green,Action Thriller,lou,Allison Janney Jurnee Smollett Logan Marshall-Green Anna Foerster Action Thriller
Sanaa Lathan,Jamila C. Gray,Da'Vine Joy Randolph,Lil Yachty,Drama Music,on the come up,Jamila C. Gray Da'Vine Joy Randolph Lil Yachty Sanaa Lathan Drama Music
Tyler Perry,Joshua Boone,Amirah Vann,Solea Pfeiffer,Drama Romance,a jazzman's blues,Joshua Boone Amirah Vann Solea Pfeiffer Tyler Perry Drama Romance
Rob Zombie,Jeff Daniel Phillips,Sheri Moon Zombie,Daniel Roebuck,Comedy Fantasy,the munsters,Jeff Daniel Phillips Sheri Moon Zombie Daniel Roebuck Rob Zombie Comedy Fantasy
Parker Finn,Sosie Bacon,Jessie T. Usher,Kyle Gallner,Horror Mystery Thriller,smile,Sosie Bacon Jessie T. Usher Kyle Gallner Parker Finn Horror Mystery Thriller
Nicholas Stoller,Billy Eichner,Luke Macfarlane,Ts Madison,Animation Family Adventure Fantasy Comedy,bros,Billy Eichner Luke Macfarlane Ts Madison Nicholas Stoller Animation Family Adventure Fantasy Comedy
Anne Fletcher,Bette Midler,Sarah Jessica Parker,Kathy Najimy,Fantasy Comedy Family,hocus pocus 2,Bette Midler Sarah Jessica Parker Kathy Najimy Anne Fletcher Fantasy Comedy Family
Peter Farrelly,Zac Efron,Russell Crowe,Bill Murray,Drama Comedy War History,the greatest beer run ever,Zac Efron Russell Crowe Bill Murray Peter Farrelly Drama Comedy War History
Mike Barker,Mila Kunis,Finn Wittrock,Scoot McNairy,Drama Thriller Mystery,luckiest girl alive,Mila Kunis Finn Wittrock Scoot McNairy Mike Barker Drama Thriller Mystery
"Saela Davis, Anna Rose Holmer",Emily Watson,Paul Mescal,Aisling Franciosi,Drama,god's creatures,"Emily Watson Paul Mescal Aisling Franciosi Saela Davis, Anna Rose Holmer Drama"
Walter Hill,Christoph Waltz,Willem Dafoe,Rachel Brosnahan,Western Thriller,dead for a dollar,Christoph Waltz Willem Dafoe Rachel Brosnahan Walter Hill Western Thriller
Damon Thomas,Elsie Fisher,Amiah Miller,Cathy Ang,Horror Comedy,my best friend's exorcism,Elsie Fisher Amiah Miller Cathy Ang Damon Thomas Horror Comedy
Sara Lohman,Mark Hapka,Megan Davis,Mellisa Marty,Drama History Thriller Crime,hot take: the depp/heard trial,Mark Hapka Megan Davis Mellisa Marty Sara Lohman Drama History Thriller Crime
John Lee Hancock,Jaeden Martell,Donald Sutherland,Joe Tippett,Drama Thriller Horror Mystery,mr. harrigan's phone,Jaeden Martell Donald Sutherland Joe Tippett John Lee Hancock Drama Thriller Horror Mystery
Damien Leone,Lauren LaVera,Elliot Fullam,Sarah Voigt,Horror,terrifier 2,Lauren LaVera Elliot Fullam Sarah Voigt Damien Leone Horror
"Will Speck, Josh Gordon",Javier Bardem,Constance Wu,Winslow Fegley,Comedy Family Music,"lyle, lyle, crocodile","Javier Bardem Constance Wu Winslow Fegley Will Speck, Josh Gordon Comedy Family Music"
David O. Russell,Christian Bale,Margot Robbie,John David Washington,Comedy Crime Thriller Mystery,amsterdam,Christian Bale Margot Robbie John David Washington David O. Russell Comedy Crime Thriller Mystery
Todd Field,Cate Blanchett,Noémie Merlant,Nina Hoss,Drama Music,tár,Cate Blanchett Noémie Merlant Nina Hoss Todd Field Drama Music
David Bruckner,Odessa A'zion,Jamie Clayton,Adam Faison,Horror Mystery,hellraiser,Odessa A'zion Jamie Clayton Adam Faison David Bruckner Horror Mystery
David Gordon Green,Jamie Lee Curtis,Andi Matichak,James Jude Courtney,Horror Thriller,halloween ends,Jamie Lee Curtis Andi Matichak James Jude Courtney David Gordon Green Horror Thriller
Chinonye Chukwu,Danielle Deadwyler,Jalyn Hall,Kevin Carroll,Drama History,till,Danielle Deadwyler Jalyn Hall Kevin Carroll Chinonye Chukwu Drama History
Karen Maine,Kaitlyn Dever,Isabela Merced,Kyle Allen,Romance Drama Comedy,rosaline,Kaitlyn Dever Isabela Merced Kyle Allen Karen Maine Romance Drama Comedy
Rodrigo García,Ewan McGregor,Ethan Hawke,Maribel Verdú,Drama Comedy,raymond & ray,Ewan McGregor Ethan Hawke Maribel Verdú Rodrigo García Drama Comedy
Claire Denis,Margaret Qualley,Joe Alwyn,Benny Safdie,Drama Romance Thriller,stars at noon,Margaret Qualley Joe Alwyn Benny Safdie Claire Denis Drama Romance Thriller
Jeff Wadlow,Marlon Wayans,Priah Ferguson,Kelly Rowland,Adventure Comedy Horror Family,the curse of bridge hollow,Marlon Wayans Priah Ferguson Kelly Rowland Jeff Wadlow Adventure Comedy Horror Family
Bill Posley,Tony Todd,unknown,unknown,Horror Mystery Thriller,bitch ass,Tony Todd unknown unknown Bill Posley Horror Mystery Thriller
Paul Feig,Sophia Anne Caruso,Sofia Wylie,Laurence Fishburne,Fantasy,the school for good and evil,Sophia Anne Caruso Sofia Wylie Laurence Fishburne Paul Feig Fantasy
Tobias Lindholm,Jessica Chastain,Eddie Redmayne,Nnamdi Asomugha,Drama Crime Mystery,the good nurse,Jessica Chastain Eddie Redmayne Nnamdi Asomugha Tobias Lindholm Drama Crime Mystery
Jaume Collet-Serra,Dwayne Johnson,Aldis Hodge,Noah Centineo,Action Adventure Science Fiction Fantasy,black adam,Dwayne Johnson Aldis Hodge Noah Centineo Jaume Collet-Serra Action Adventure Science Fiction Fantasy
Ol Parker,George Clooney,Julia Roberts,Kaitlyn Dever,Romance Comedy,ticket to paradise,George Clooney Julia Roberts Kaitlyn Dever Ol Parker Romance Comedy
Henry Selick,Keegan-Michael Key,Jordan Peele,Lyric Ross,Animation Comedy Fantasy Adventure,wendell & wild,Keegan-Michael Key Jordan Peele Lyric Ross Henry Selick Animation Comedy Fantasy Adventure
Martin McDonagh,Colin Farrell,Brendan Gleeson,Kerry Condon,Drama Comedy,the banshees of inisherin,Colin Farrell Brendan Gleeson Kerry Condon Martin McDonagh Drama Comedy
Michael Grandage,Harry Styles,Emma Corrin,David Dawson,Drama Romance,my policeman,Harry Styles Emma Corrin David Dawson Michael Grandage Drama Romance
Charlotte Wells,Paul Mescal,Francesca Corio,Celia Rowlson-Hall,Drama,aftersun,Paul Mescal Francesca Corio Celia Rowlson-Hall Charlotte Wells Drama
Edward John Drake,Bruce Willis,Lochlyn Munro,Jimmy Jean-Louis,Action Crime Thriller,detective knight: rogue,Bruce Willis Lochlyn Munro Jimmy Jean-Louis Edward John Drake Action Crime Thriller
James Gray,Anne Hathaway,Jeremy Strong,Banks Repeta,Drama,armageddon time,Anne Hathaway Jeremy Strong Banks Repeta James Gray Drama
Phyllis Nagy,Elizabeth Banks,Sigourney Weaver,Chris Messina,Drama History,call jane,Elizabeth Banks Sigourney Weaver Chris Messina Phyllis Nagy Drama History
Lila Neugebauer,Jennifer Lawrence,Brian Tyree Henry,Linda Emond,Drama,causeway,Jennifer Lawrence Brian Tyree Henry Linda Emond Lila Neugebauer Drama
Daniel Stamm,Jacqueline Byers,Colin Salmon,Christian Navarro,Horror Thriller,prey for the devil,Jacqueline Byers Colin Salmon Christian Navarro Daniel Stamm Horror Thriller
Shana Feste,Ella Balinska,Pilou Asbæk,Clark Gregg,Thriller Horror,run sweetheart run,Ella Balinska Pilou Asbæk Clark Gregg Shana Feste Thriller Horror
Sebastián Lelio,Florence Pugh,Tom Burke,Niamh Algar,Drama Mystery,the wonder,Florence Pugh Tom Burke Niamh Algar Sebastián Lelio Drama Mystery
Amy Rice,Brian Cox,Jodie Turner-Smith,Luke Kirby,Thriller Drama,the independent,Brian Cox Jodie Turner-Smith Luke Kirby Amy Rice Thriller Drama
Harry Bradbeer,Millie Bobby Brown,Henry Cavill,David Thewlis,Adventure Mystery Comedy Crime,enola holmes 2,Millie Bobby Brown Henry Cavill David Thewlis Harry Bradbeer Adventure Mystery Comedy Crime
Nora Twomey,Jacob Tremblay,Gaten Matarazzo,Golshifteh Farahani,Animation Adventure Family Fantasy Comedy,my father's dragon,Jacob Tremblay Gaten Matarazzo Golshifteh Farahani Nora Twomey Animation Adventure Family Fantasy Comedy
Eric Appel,Daniel Radcliffe,Evan Rachel Wood,Rainn Wilson,Music Comedy,weird: the al yankovic story,Daniel Radcliffe Evan Rachel Wood Rainn Wilson Eric Appel Music Comedy
Dean Craig,Toni Collette,Anna Faris,David Duchovny,Comedy Drama,the estate,Toni Collette Anna Faris David Duchovny Dean Craig Comedy Drama
Michael Mailer,Cole Hauser,Jaimie Alexander,Morgan Freeman,Thriller Crime,the minute you wake up dead,Cole Hauser Jaimie Alexander Morgan Freeman Michael Mailer Thriller Crime
Romuald Boulanger,Mel Gibson,Kevin Dillon,unknown,Thriller,on the line,Mel Gibson Kevin Dillon unknown Romuald Boulanger Thriller
Gren Wells,Sadie Sink,Theo Rossi,Kweku Collins,Drama,dear zoe,Sadie Sink Theo Rossi Kweku Collins Gren Wells Drama
"Justin Benson, Aaron Moorhead",Justin Benson,Aaron Moorhead,unknown,Science Fiction Mystery,something in the dirt,"Justin Benson Aaron Moorhead unknown Justin Benson, Aaron Moorhead Science Fiction Mystery"
"Guillermo del Toro, Mark Gustafson",Ewan McGregor,David Bradley,Gregory Mann,Animation Fantasy Drama Music,guillermo del toro's pinocchio,"Ewan McGregor David Bradley Gregory Mann Guillermo del Toro, Mark Gustafson Animation Fantasy Drama Music"
Janeen Damian,Lindsay Lohan,Chord Overstreet,George Young,Romance Comedy Family,falling for christmas,Lindsay Lohan Chord Overstreet George Young Janeen Damian Romance Comedy Family
Ryan Coogler,Letitia Wright,Lupita Nyong'o,Danai Gurira,Action Adventure Science Fiction,black panther: wakanda forever,Letitia Wright Lupita Nyong'o Danai Gurira Ryan Coogler Action Adventure Science Fiction
Steven Spielberg,Michelle Williams,Paul Dano,Seth Rogen,Drama,the fabelmans,Michelle Williams Paul Dano Seth Rogen Steven Spielberg Drama
Sean Anders,Will Ferrell,Ryan Reynolds,Octavia Spencer,Comedy,spirited,Will Ferrell Ryan Reynolds Octavia Spencer Sean Anders Comedy
Chuck Russell,John Travolta,Bruce Willis,unknown,Action Crime Thriller,paradise city,John Travolta Bruce Willis unknown Chuck Russell Action Crime Thriller
Russell Crowe,Russell Crowe,Liam Hemsworth,Elsa Pataky,Thriller,poker face,Russell Crowe Liam Hemsworth Elsa Pataky Russell Crowe Thriller
Clay Kaytis,Peter Billingsley,Erinn Hayes,Ian Petrella,Family Comedy Drama,a christmas story christmas,Peter Billingsley Erinn Hayes Ian Petrella Clay Kaytis Family Comedy Drama
Gabriela Tagliavini,Aimee Garcia,Freddie Prinze Jr.,unknown,Romance Comedy,christmas with you,Aimee Garcia Freddie Prinze Jr. unknown Gabriela Tagliavini Romance Comedy
Maria Schrader,Carey Mulligan,Zoe Kazan,Patricia Clarkson,Drama History,she said,Carey Mulligan Zoe Kazan Patricia Clarkson Maria Schrader Drama History
Mark Mylod,Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult,Horror Thriller Comedy,the menu,Ralph Fiennes Anya Taylor-Joy Nicholas Hoult Mark Mylod Horror Thriller Comedy
Adam Shankman,Amy Adams,Patrick Dempsey,Maya Rudolph,Comedy Family Fantasy,disenchanted,Amy Adams Patrick Dempsey Maya Rudolph Adam Shankman Comedy Family Fantasy
Francis Lawrence,Jason Momoa,Marlow Barkley,Chris O'Dowd,Family Fantasy,slumberland,Jason Momoa Marlow Barkley Chris O'Dowd Francis Lawrence Family Fantasy
Luca Guadagnino,Taylor Russell,Timothée Chalamet,Michael Stuhlbarg,Drama Horror Romance,bones and all,Taylor Russell Timothée Chalamet Michael Stuhlbarg Luca Guadagnino Drama Horror Romance
Elegance Bratton,Jeremy Pope,Raúl Castillo,McCaul Lombardi,Drama,the inspection,Jeremy Pope Raúl Castillo McCaul Lombardi Elegance Bratton Drama
Stephen Donnelly,Luke Evans,Olivia Colman,Jessie Buckley,Animation Family Fantasy,scrooge: a christmas carol,Luke Evans Olivia Colman Jessie Buckley Stephen Donnelly Animation Family Fantasy
Robert Moresco,Frank Grillo,Mira Sorvino,Gabriel Byrne,Drama History,lamborghini: the man behind the legend,Frank Grillo Mira Sorvino Gabriel Byrne Robert Moresco Drama History
Claire Scanlon,Allison Janney,Kristen Bell,Ben Platt,Comedy,the people we hate at the wedding,Allison Janney Kristen Bell Ben Platt Claire Scanlon Comedy
Phil Hawkins,James Cromwell,Sarah-Jane Potts,Aaron McCusker,Family Fantasy,prancer: a christmas tale,James Cromwell Sarah-Jane Potts Aaron McCusker Phil Hawkins Family Fantasy
Don Hall,Jake Gyllenhaal,Dennis Quaid,Jaboukie Young-White,Animation Family Adventure Science Fiction,strange world,Jake Gyllenhaal Dennis Quaid Jaboukie Young-White Don Hall Animation Family Adventure Science Fiction
Rian Johnson,Daniel Craig,Edward Norton,Janelle Monáe,Comedy Crime Mystery,glass onion: a knives out mystery,Daniel Craig Edward Norton Janelle Monáe Rian Johnson Comedy Crime Mystery
J. D. Dillard,Jonathan Majors,Glen Powell,Christina Jackson,War Drama Action,devotion,Jonathan Majors Glen Powell Christina Jackson J. D. Dillard War Drama Action
Nikyatu Jusu,Anna Diop,Michelle Monaghan,Sinqua Walls,Drama Horror,nanny,Anna Diop Michelle Monaghan Sinqua Walls Nikyatu Jusu Drama Horror
Alex Ranarivelo,Violet McGraw,Eddie Cibrian,Christoph Sanders,Family Comedy Drama Mystery,a christmas mystery,Violet McGraw Eddie Cibrian Christoph Sanders Alex Ranarivelo Family Comedy Drama Mystery
Shaun Paul Piccinino,Annelise Cepero,Jeremy Sumpter,Brooke Shields,Romance Comedy Music,holiday harmony,Annelise Cepero Jeremy Sumpter Brooke Shields Shaun Paul Piccinino Romance Comedy Music
Charles Shyer,Justin Hartley,Barrett Doss,unknown,Romance Comedy Drama,the noel diary,Justin Hartley Barrett Doss unknown Charles Shyer Romance Comedy Drama
Noah Baumbach,Adam Driver,Greta Gerwig,Don Cheadle,Comedy Drama Science Fiction,white noise,Adam Driver Greta Gerwig Don Cheadle Noah Baumbach Comedy Drama Science Fiction
Alex Ranarivelo,Jessika Van,Josh Swickard,Tom Williamson,Comedy Romance,a hollywood christmas,Jessika Van Josh Swickard Tom Williamson Alex Ranarivelo Comedy Romance
Tommy Wirkola,David Harbour,John Leguizamo,Alex Hassell,Action Comedy Crime Thriller,violent night,David Harbour John Leguizamo Alex Hassell Tommy Wirkola Action Comedy Crime Thriller
Antoine Fuqua,Will Smith,Ben Foster,Charmaine Bingwa,Drama,emancipation,Will Smith Ben Foster Charmaine Bingwa Antoine Fuqua Drama
Michael Showalter,Jim Parsons,Ben Aldridge,Sally Field,Comedy Drama Romance,spoiler alert,Jim Parsons Ben Aldridge Sally Field Michael Showalter Comedy Drama Romance
Luke Cormican,Brady Noon,Ethan William Childress,Hunter Dillon,Animation Comedy Family,diary of a wimpy kid: rodrick rules,Brady Noon Ethan William Childress Hunter Dillon Luke Cormican Animation Comedy Family
Silas Howard,Riele Downs,Auliʻi Cravalho,Chosen Jacobs,Comedy Fantasy,darby and the dead,Riele Downs Auliʻi Cravalho Chosen Jacobs Silas Howard Comedy Fantasy
Laure de Clermont-Tonnerre,Emma Corrin,Jack O'Connell,Joely Richardson,Drama Romance,lady chatterley's lover,Emma Corrin Jack O'Connell Joely Richardson Laure de Clermont-Tonnerre Drama Romance
Joanna Hogg,Tilda Swinton,Joseph Mydell,Carly-Sophia Davies,Drama Mystery,the eternal daughter,Tilda Swinton Joseph Mydell Carly-Sophia Davies Joanna Hogg Drama Mystery
Matthew Warchus,Alisha Weir,Lashana Lynch,Stephen Graham,Family Comedy Fantasy,matilda the musical,Alisha Weir Lashana Lynch Stephen Graham Matthew Warchus Family Comedy Fantasy
Sam Mendes,Olivia Colman,Micheal Ward,Tom Brooke,Drama Romance,empire of light,Olivia Colman Micheal Ward Tom Brooke Sam Mendes Drama Romance
Matt Danner,Joshua Bassett,Jamie Demetriou,Alice Isaaz,Animation Comedy Family Fantasy,night at the museum: kahmunrah rises again,Joshua Bassett Jamie Demetriou Alice Isaaz Matt Danner Animation Comedy Family Fantasy
Darren Aronofsky,Brendan Fraser,Sadie Sink,Hong Chau,Drama,the whale,Brendan Fraser Sadie Sink Hong Chau Darren Aronofsky Drama
Daryl Wein,Zoey Deutch,Kendrick Sampson,Ray Nicholson,Romance Comedy,something from tiffany's,Zoey Deutch Kendrick Sampson Ray Nicholson Daryl Wein Romance Comedy
Edward John Drake,Paul Johansson,Bruce Willis,unknown,Action Thriller,detective knight: redemption,Paul Johansson Bruce Willis unknown Edward John Drake Action Thriller
Steven LaMorte,David Howard Thornton,Krystle Martin,Chase Mullins,Horror Comedy,the mean one,David Howard Thornton Krystle Martin Chase Mullins Steven LaMorte Horror Comedy
Amin Matalqa,Anna Camp,Rob Mayes,Carson Minniear,Drama,5000 blankets,Anna Camp Rob Mayes Carson Minniear Amin Matalqa Drama
James Cameron,Sam Worthington,Zoe Saldaña,Sigourney Weaver,Science Fiction Adventure Action,avatar: the way of water,Sam Worthington Zoe Saldaña Sigourney Weaver James Cameron Science Fiction Adventure Action
Joel Crawford,Antonio Banderas,Salma Hayek,Harvey Guillén,Animation Family Fantasy Adventure Comedy,puss in boots: the last wish,Antonio Banderas Salma Hayek Harvey Guillén Joel Crawford Animation Family Fantasy Adventure Comedy
Damien Chazelle,Brad Pitt,Margot Robbie,Diego Calva,Drama Comedy,babylon,Brad Pitt Margot Robbie Diego Calva Damien Chazelle Drama Comedy
Kasi Lemmons,Naomi Ackie,Stanley Tucci,Ashton Sanders,Music History Drama,whitney houston: i wanna dance with somebody,Naomi Ackie Stanley Tucci Ashton Sanders Kasi Lemmons Music History Drama
Scott Cooper,Christian Bale,Harry Melling,Gillian Anderson,Crime,the pale blue eye,Christian Bale Harry Melling Gillian Anderson Scott Cooper Crime
Sarah Polley,Rooney Mara,Claire Foy,Jessie Buckley,Drama,women talking,Rooney Mara Claire Foy Jessie Buckley Sarah Polley Drama
Marc Forster,Tom Hanks,Mariana Treviño,Rachel Keller,Comedy Drama,a man called otto,Tom Hanks Mariana Treviño Rachel Keller Marc Forster Comedy Drama
Mary Nighy,Anna Kendrick,Kaniehtiio Horn,Charlie Carrick,Thriller Mystery Drama,"alice, darling",Anna Kendrick Kaniehtiio Horn Charlie Carrick Mary Nighy Thriller Mystery Drama
